conference,division,club_name,city,state,league,source_url
Central,Valley,Lexington SC,Lexington,KY,USL W League,https://en.wikipedia.org/wiki/2025_USL_W_League_season
Central,Valley,Dayton Dutch Lions FC,Dayton,OH,USL W League,https://en.wikipedia.org/wiki/2025_USL_W_League_season
Southern,Lone Star,Lonestar SC,Texas,TX,USL W League,https://en.wikipedia.org/wiki/2025_USL_W_League_season
Southern,Lone Star,AHFC Royals,Houston,TX,USL W League,https://en.wikipedia.org/wiki/2025_USL_W_League_season
Southern,Lone Star,Challenge SC,Texas,TX,USL W League,https://en.wikipedia.org/wiki/2025_USL_W_League_season
Southern,Lone Star,Lonestar San Antonio,San Antonio,TX,USL W League,https://en.wikipedia.org/wiki/2025_USL_W_League_season
Southern,Lone Star,San Antonio Athenians SC,San Antonio,TX,USL W League,https://en.wikipedia.org/wiki/2025_USL_W_League_season
Southern,South Central,Asheville City SC,Asheville,NC,USL W League,https://en.wikipedia.org/wiki/2025_USL_W_League_season
Southern,South Central,Greenville Liberty SC,Greenville,SC,USL W League,https://en.wikipedia.org/wiki/2025_USL_W_League_season
Southern,South Central,Southern Soccer Academy,Tennessee,TN,USL W League,https://en.wikipedia.org/wiki/2025_USL_W_League_season
Southern,South Central,Chattanooga Red Wolves SC,Chattanooga,TN,USL W League,https://en.wikipedia.org/wiki/2025_USL_W_League_season
Southern,South Central,Birmingham Legion FC,Birmingham,AL,USL W League,https://en.wikipedia.org/wiki/2025_USL_W_League_season
Southern,South Central,Tennessee SC,Tennessee,TN,USL W League,https://en.wikipedia.org/wiki/2025_USL_W_League_season
Southern,South Central,One Knoxville SC,Knoxville,TN,USL W League,https://en.wikipedia.org/wiki/2025_USL_W_League_season
Southern,Southeast,Sporting Club Jacksonville,Jacksonville,FL,USL W League,https://en.wikipedia.org/wiki/2025_USL_W_League_season
Southern,Southeast,TLH Reckoning,Tallahassee,FL,USL W League,https://en.wikipedia.org/wiki/2025_USL_W_League_season
Southern,Southeast,Fort Lauderdale United FC,Fort Lauderdale,FL,USL W League,https://en.wikipedia.org/wiki/2025_USL_W_League_season
Southern,Southeast,Kings Hammer FC Sun City,Florida,FL,USL W League,https://en.wikipedia.org/wiki/2025_USL_W_League_season
Southern,Southeast,Brevard SC Riptide,Brevard County,FL,USL W League,https://en.wikipedia.org/wiki/2025_USL_W_League_season
Southern,Southeast,FC Miami City,Miami,FL,USL W League,https://en.wikipedia.org/wiki/2025_USL_W_League_season
Southern,Southeast,Brooke House FC,Florida,FL,USL W League,https://en.wikipedia.org/wiki/2025_USL_W_League_season
Southern,Southeast,Miami AC,Miami,FL,USL W League,https://en.wikipedia.org/wiki/2025_USL_W_League_season
Western,Mountain,Utah United,Utah,UT,USL W League,https://en.wikipedia.org/wiki/2025_USL_W_League_season
Western,Mountain,Colorado Storm,Colorado,CO,USL W League,https://en.wikipedia.org/wiki/2025_USL_W_League_season
Western,Mountain,Albion SC Colorado,Colorado,CO,USL W League,https://en.wikipedia.org/wiki/2025_USL_W_League_season
Western,Mountain,Flatirons Rush,Colorado,CO,USL W League,https://en.wikipedia.org/wiki/2025_USL_W_League_season
Western,Mountain,Colorado International Soccer Academy,Colorado,CO,USL W League,https://en.wikipedia.org/wiki/2025_USL_W_League_season
Western,Northwest,FC Olympia,Olympia,WA,USL W League,https://en.wikipedia.org/wiki/2025_USL_W_League_season
Western,Northwest,West Seattle Rhodies FC,Seattle,WA,USL W League,https://en.wikipedia.org/wiki/2025_USL_W_League_season
Western,Northwest,Salmon Bay FC,Seattle,WA,USL W League,https://en.wikipedia.org/wiki/2025_USL_W_League_season
Western,Northwest,Lane United FC,Lane County,OR,USL W League,https://en.wikipedia.org/wiki/2025_USL_W_League_season
Western,Northwest,Tacoma Galaxy,Tacoma,WA,USL W League,https://en.wikipedia.org/wiki/2025_USL_W_League_season
Western,Northwest,Bigfoot FC,Washington,WA,USL W League,https://en.wikipedia.org/wiki/2025_USL_W_League_season
Western,Nor Cal,Stockton Cargo SC,Stockton,CA,USL W League,https://en.wikipedia.org/wiki/2025_USL_W_League_season
Western,Nor Cal,Oakland Soul SC,Oakland,CA,USL W League,https://en.wikipedia.org/wiki/2025_USL_W_League_season
Western,Nor Cal,Pleasanton RAGE,Pleasanton,CA,USL W League,https://en.wikipedia.org/wiki/2025_USL_W_League_season
Western,Nor Cal,California Storm,California,CA,USL W League,https://en.wikipedia.org/wiki/2025_USL_W_League_season
Western,Nor Cal,Marin FC Siren,Marin,CA,USL W League,https://en.wikipedia.org/wiki/2025_USL_W_League_season
Western,Nor Cal,Olympic Club SC,San Francisco,CA,USL W League,https://en.wikipedia.org/wiki/2025_USL_W_League_season
Western,Nor Cal,San Francisco Glens,San Francisco,CA,USL W League,https://en.wikipedia.org/wiki/2025_USL_W_League_season
Western,Nor Cal,Academica SC,Sacramento,CA,USL W League,https://en.wikipedia.org/wiki/2025_USL_W_League_season
Western,SoCal,Santa Clarita Blue Heat,Santa Clarita,CA,USL W League,https://en.wikipedia.org/wiki/2025_USL_W_League_season
Western,SoCal,Capo FC,Orange County,CA,USL W League,https://en.wikipedia.org/wiki/2025_USL_W_League_season
Western,SoCal,Southern California Dutch Lions,Southern CA,CA,USL W League,https://en.wikipedia.org/wiki/2025_USL_W_League_season
Western,SoCal,OC Sporting FC,Orange County,CA,USL W League,https://en.wikipedia.org/wiki/2025_USL_W_League_season
Western,SoCal,AMSG FC,Southern CA,CA,USL W League,https://en.wikipedia.org/wiki/2025_USL_W_League_season
