conference,club_name,state,league,gender,source_url
Mountain West,Colorado United,CO,Girls Academy,Girls,https://en.wikipedia.org/wiki/Girls_Academy
Mountain West,Las Vegas Sports Academy,NV,Girls Academy,Girls,https://en.wikipedia.org/wiki/Girls_Academy
Mountain West,New Mexico Soccer Academy,NM,Girls Academy,Girls,https://en.wikipedia.org/wiki/Girls_Academy
Mountain West,Rio Rapids SC,NM,Girls Academy,Girls,https://en.wikipedia.org/wiki/Girls_Academy
Mountain West,Utah Celtic FC,UT,Girls Academy,Girls,https://en.wikipedia.org/wiki/Girls_Academy
Mountain West,Wasatch SC,UT,Girls Academy,Girls,https://en.wikipedia.org/wiki/Girls_Academy
Northeast,Cedar Stars Academy - Monmouth,NJ,Girls Academy,Girls,https://en.wikipedia.org/wiki/Girls_Academy
Northeast,Cedar Stars Academy - Bergen,NJ,Girls Academy,Girls,https://en.wikipedia.org/wiki/Girls_Academy
Northeast,Long Island SC,NY,Girls Academy,Girls,https://en.wikipedia.org/wiki/Girls_Academy
Northeast,NEFC,MA,Girls Academy,Girls,https://en.wikipedia.org/wiki/Girls_Academy
Northeast,New York Soccer Club,NY,Girls Academy,Girls,https://en.wikipedia.org/wiki/Girls_Academy
Northeast,Oakwood SC,CT,Girls Academy,Girls,https://en.wikipedia.org/wiki/Girls_Academy
Northeast,Rochester NYFC Youth,NY,Girls Academy,Girls,https://en.wikipedia.org/wiki/Girls_Academy
Northeast,Seacoast United,NH,Girls Academy,Girls,https://en.wikipedia.org/wiki/Girls_Academy
Northeast,South Shore Select,MA,Girls Academy,Girls,https://en.wikipedia.org/wiki/Girls_Academy
Northeast,STA,NJ,Girls Academy,Girls,https://en.wikipedia.org/wiki/Girls_Academy
Northeast,Syracuse Development Academy,NY,Girls Academy,Girls,https://en.wikipedia.org/wiki/Girls_Academy
Northwest,Almaden FC,CA,Girls Academy,Girls,https://en.wikipedia.org/wiki/Girls_Academy
Northwest,Clovis Crossfire,CA,Girls Academy,Girls,https://en.wikipedia.org/wiki/Girls_Academy
Northwest,Lamorinda SC,CA,Girls Academy,Girls,https://en.wikipedia.org/wiki/Girls_Academy
Northwest,Los Gatos United,CA,Girls Academy,Girls,https://en.wikipedia.org/wiki/Girls_Academy
Northwest,Sacramento United,CA,Girls Academy,Girls,https://en.wikipedia.org/wiki/Girls_Academy
Northwest,San Francisco Elite Academy,CA,Girls Academy,Girls,https://en.wikipedia.org/wiki/Girls_Academy
Northwest,Santa Clara Sporting,CA,Girls Academy,Girls,https://en.wikipedia.org/wiki/Girls_Academy
Northwest,Silicon Valley SA,CA,Girls Academy,Girls,https://en.wikipedia.org/wiki/Girls_Academy
Northwest,West Coast Soccer Club,CA,Girls Academy,Girls,https://en.wikipedia.org/wiki/Girls_Academy
Pacific Northwest,Oregon Premier FC,OR,Girls Academy,Girls,https://en.wikipedia.org/wiki/Girls_Academy
Pacific Northwest,Capital FC,OR,Girls Academy,Girls,https://en.wikipedia.org/wiki/Girls_Academy
Pacific Northwest,Columbia Premier SC,WA,Girls Academy,Girls,https://en.wikipedia.org/wiki/Girls_Academy
Pacific Northwest,Eugene Metro Futbol Club,OR,Girls Academy,Girls,https://en.wikipedia.org/wiki/Girls_Academy
Pacific Northwest,Liverpool FC IA Washington,WA,Girls Academy,Girls,https://en.wikipedia.org/wiki/Girls_Academy
Pacific Northwest,Seattle Reign Academy,WA,Girls Academy,Girls,https://en.wikipedia.org/wiki/Girls_Academy
Pacific Northwest,Seattle Celtic,WA,Girls Academy,Girls,https://en.wikipedia.org/wiki/Girls_Academy
Pacific Northwest,Spokane Shadow,WA,Girls Academy,Girls,https://en.wikipedia.org/wiki/Girls_Academy
Pacific Northwest,Washington Rush,WA,Girls Academy,Girls,https://en.wikipedia.org/wiki/Girls_Academy
Pacific Northwest,Washington East Surf SC,WA,Girls Academy,Girls,https://en.wikipedia.org/wiki/Girls_Academy
Southeast,AFC Lightning,GA,Girls Academy,Girls,https://en.wikipedia.org/wiki/Girls_Academy
Southeast,Florida United,FL,Girls Academy,Girls,https://en.wikipedia.org/wiki/Girls_Academy
Southeast,IMG Academy,FL,Girls Academy,Girls,https://en.wikipedia.org/wiki/Girls_Academy
Southeast,PBG Predators,FL,Girls Academy,Girls,https://en.wikipedia.org/wiki/Girls_Academy
Southeast,South Carolina Surf,SC,Girls Academy,Girls,https://en.wikipedia.org/wiki/Girls_Academy
Southeast,Southern Soccer Academy,GA,Girls Academy,Girls,https://en.wikipedia.org/wiki/Girls_Academy
Southeast,Tophat Gold,GA,Girls Academy,Girls,https://en.wikipedia.org/wiki/Girls_Academy
Southeast,Tophat Navy,GA,Girls Academy,Girls,https://en.wikipedia.org/wiki/Girls_Academy
Southeast,United Soccer Alliance,FL,Girls Academy,Girls,https://en.wikipedia.org/wiki/Girls_Academy
Southeast,Wake FC,NC,Girls Academy,Girls,https://en.wikipedia.org/wiki/Girls_Academy
Southeast,West Florida Flames,FL,Girls Academy,Girls,https://en.wikipedia.org/wiki/Girls_Academy
Southwest,Albion SC San Diego,CA,Girls Academy,Girls,https://en.wikipedia.org/wiki/Girls_Academy
Southwest,City SC,CA,Girls Academy,Girls,https://en.wikipedia.org/wiki/Girls_Academy
Southwest,FC Tucson,AZ,Girls Academy,Girls,https://en.wikipedia.org/wiki/Girls_Academy
Southwest,FRAM Soccer Club,CA,Girls Academy,Girls,https://en.wikipedia.org/wiki/Girls_Academy
Southwest,LA Surf SC,CA,Girls Academy,Girls,https://en.wikipedia.org/wiki/Girls_Academy
Southwest,Murrieta Soccer Academy,CA,Girls Academy,Girls,https://en.wikipedia.org/wiki/Girls_Academy
Southwest,SC del Sol,AZ,Girls Academy,Girls,https://en.wikipedia.org/wiki/Girls_Academy
Southwest,SDSC Surf,CA,Girls Academy,Girls,https://en.wikipedia.org/wiki/Girls_Academy
Southwest,West Coast FC,CA,Girls Academy,Girls,https://en.wikipedia.org/wiki/Girls_Academy
