club_name,city,state,conference,league,gender,source
Capital City SC,Austin,TX,Lone Star,Development Player League,Girls,playclubsoccer.org + dpleague.org
El Paso Surf SC,El Paso,TX,Lone Star,Development Player League,Girls,playclubsoccer.org + dpleague.org
GFI Academy,Spring,TX,Lone Star,Development Player League,Girls,playclubsoccer.org + dpleague.org
Houston Rangers,Houston,TX,Lone Star,Development Player League,Girls,playclubsoccer.org + dpleague.org
Houston Surf SC,Klein,TX,Lone Star,Development Player League,Girls,playclubsoccer.org + dpleague.org
HTX Soccer,The Woodlands,TX,Lone Star,Development Player League,Girls,playclubsoccer.org + dpleague.org
Premier Futbol Academy SA,San Antonio,TX,Lone Star,Development Player League,Girls,playclubsoccer.org + dpleague.org
Real Salt Lake El Paso East,Socorro,TX,Lone Star,Development Player League,Girls,playclubsoccer.org + dpleague.org
RSL Royals West,El Paso,TX,Lone Star,Development Player League,Girls,playclubsoccer.org + dpleague.org
SA United SC,San Antonio,TX,Lone Star,Development Player League,Girls,playclubsoccer.org + dpleague.org
ASG,Tallahassee,FL,Southeast,Development Player League,Girls,playclubsoccer.org + dpleague.org
Clay County SC United,Fleming Island,FL,Southeast,Development Player League,Girls,playclubsoccer.org + dpleague.org
Football Club Sarasota,Sarasota,FL,Southeast,Development Player League,Girls,playclubsoccer.org + dpleague.org
Florida Celtic,Largo,FL,Southeast,Development Player League,Girls,playclubsoccer.org + dpleague.org
Florida Prime Soccer,St. Augustine,FL,Southeast,Development Player League,Girls,playclubsoccer.org + dpleague.org
IdeaSport Soccer Academy,Orlando,FL,Southeast,Development Player League,Girls,playclubsoccer.org + dpleague.org
Kings Hammer Swan City SC,Lakeland,FL,Southeast,Development Player League,Girls,playclubsoccer.org + dpleague.org
Naples United Soccer Academy,Naples,FL,Southeast,Development Player League,Girls,playclubsoccer.org + dpleague.org
Orlando City Soccer School,Orlando,FL,Southeast,Development Player League,Girls,playclubsoccer.org + dpleague.org
Palm Beach Kicks,Palm Beach Gardens,FL,Southeast,Development Player League,Girls,playclubsoccer.org + dpleague.org
West Florida Flames,Brandon,FL,Southeast,Development Player League,Girls,playclubsoccer.org + dpleague.org
Weston FC,Weston,FL,Southeast,Development Player League,Girls,playclubsoccer.org + dpleague.org
Albion SC Atlanta,Alpharetta,GA,Southeast,Development Player League,Girls,playclubsoccer.org + dpleague.org
Augusta Arsenal SC,Martinez,GA,Carolinas,Development Player League,Girls,playclubsoccer.org + dpleague.org
Georgia Impact SC,Canton,GA,Southeast,Development Player League,Girls,playclubsoccer.org + dpleague.org
Inter Atlanta FC,Atlanta,GA,Southeast,Development Player League,Girls,playclubsoccer.org + dpleague.org
Lanier Soccer Academy,Gainesville,GA,Southeast,Development Player League,Girls,playclubsoccer.org + dpleague.org
NTH NASA,Marietta,GA,Southeast,Development Player League,Girls,playclubsoccer.org + dpleague.org
Roswell Soccer Club,Roswell,GA,Southeast,Development Player League,Girls,playclubsoccer.org + dpleague.org
Rush Union Soccer,Milton,GA,Southeast,Development Player League,Girls,playclubsoccer.org + dpleague.org
Southern Soccer Academy,Marietta,GA,Southeast,Development Player League,Girls,playclubsoccer.org + dpleague.org
Tormenta FC Academy,Statesboro,GA,Carolinas,Development Player League,Girls,playclubsoccer.org + dpleague.org
Triumph Youth Soccer,Tucker,GA,Southeast,Development Player League,Girls,playclubsoccer.org + dpleague.org
Carolina Velocity FC,Raleigh,NC,Carolinas,Development Player League,Girls,playclubsoccer.org + dpleague.org
Charlotte DA,Charlotte,NC,Carolinas,Development Player League,Girls,playclubsoccer.org + dpleague.org
Charlotte Independence SC,Cornelius,NC,Carolinas,Development Player League,Girls,playclubsoccer.org + dpleague.org
Fox Soccer Academy Carolinas,Cornelius,NC,Carolinas,Development Player League,Girls,playclubsoccer.org + dpleague.org
Triangle United Soccer Assoc.,Chapel Hill,NC,Carolinas,Development Player League,Girls,playclubsoccer.org + dpleague.org
Wake FC,Holly Springs,NC,Carolinas,Development Player League,Girls,playclubsoccer.org + dpleague.org
Charleston SC,Charleston,SC,Carolinas,Development Player League,Girls,playclubsoccer.org + dpleague.org
James Island Soccer Club,James Island,SC,Carolinas,Development Player League,Girls,playclubsoccer.org + dpleague.org
Albion SC Colorado,Longmont,CO,Mountain,Development Player League,Girls,playclubsoccer.org + dpleague.org
Albion SC Denver,Denver,CO,Mountain,Development Player League,Girls,playclubsoccer.org + dpleague.org
Broomfield SC,Broomfield,CO,Mountain,Development Player League,Girls,playclubsoccer.org + dpleague.org
City SC NOCO,Fort Collins,CO,Mountain,Development Player League,Girls,playclubsoccer.org + dpleague.org
Colorado Rapids Youth,Aurora,CO,Mountain,Development Player League,Girls,playclubsoccer.org + dpleague.org
Colorado Rush,Littleton,CO,Mountain,Development Player League,Girls,playclubsoccer.org + dpleague.org
Colorado United,Littleton,CO,Mountain,Development Player League,Girls,playclubsoccer.org + dpleague.org
Real Colorado,Centennial,CO,Mountain,Development Player League,Girls,playclubsoccer.org + dpleague.org
Chicago City SC,Chicago,IL,Midwest,Development Player League,Girls,playclubsoccer.org + dpleague.org
Chicago Empire FC,Mokena,IL,Midwest,Development Player League,Girls,playclubsoccer.org + dpleague.org
Chicago Fire Youth SC,Chicago,IL,Midwest,Development Player League,Girls,playclubsoccer.org + dpleague.org
Chicago Kics FC,Chicago,IL,Midwest,Development Player League,Girls,playclubsoccer.org + dpleague.org
Chicago Rush SC,Rosemont,IL,Midwest,Development Player League,Girls,playclubsoccer.org + dpleague.org
Metro Alliance FC,O'Fallon,IL,Midwest,Development Player League,Girls,playclubsoccer.org + dpleague.org
Chicagoland United Elite,La Grange,IL,Midwest,Development Player League,Girls,playclubsoccer.org + dpleague.org
Cheshire Soccer Academy,Mendham,NJ,Northeast,Development Player League,Girls,playclubsoccer.org + dpleague.org
Ironbound SC,Newark,NJ,Northeast,Development Player League,Girls,playclubsoccer.org + dpleague.org
NJ14 Soccer Club,Flemington,NJ,Northeast,Development Player League,Girls,playclubsoccer.org + dpleague.org
STA Mount Olive SC,Budd Lake,NJ,Northeast,Development Player League,Girls,playclubsoccer.org + dpleague.org
Westfield NJ Soccer,Westfield,NJ,Northeast,Development Player League,Girls,playclubsoccer.org + dpleague.org
FC Boston Bolts,Newton,MA,Northeast,Development Player League,Girls,playclubsoccer.org + dpleague.org
FC Stars,Acton,MA,Northeast,Development Player League,Girls,playclubsoccer.org + dpleague.org
Intercontinental Football Academy NE,Granby,MA,Northeast,Development Player League,Girls,playclubsoccer.org + dpleague.org
New England Futbol Club (NEFC),Mendon,MA,Northeast,Development Player League,Girls,playclubsoccer.org + dpleague.org
New England Force,Pembroke,MA,Northeast,Development Player League,Girls,playclubsoccer.org + dpleague.org
Seacoast United Massachusetts,Andover,MA,Northeast,Development Player League,Girls,playclubsoccer.org + dpleague.org
Western United Pioneers FC,Ludlow,MA,Northeast,Development Player League,Girls,playclubsoccer.org + dpleague.org
Harford FC United,Forest Hill,MD,Mid-Atlantic,Development Player League,Girls,playclubsoccer.org + dpleague.org
Albion SC Utah,Salt Lake City,UT,Mountain,Development Player League,Girls,playclubsoccer.org + dpleague.org
Skyline Soccer Association,Englewood,CO,Mountain,Development Player League,Girls,playclubsoccer.org + dpleague.org
Indie Chicas,Meridian,ID,Mountain,Development Player League,Girls,playclubsoccer.org + dpleague.org
Vero FC,Vero Beach,FL,Southeast,Development Player League,Girls,playclubsoccer.org + dpleague.org
Houston Futsal Club,Houston,TX,Lone Star,Development Player League,Girls,playclubsoccer.org + dpleague.org
